,Unnamed: 0,Unnamed: 0.1,director,metacritic,n_votes,paper_name,rating,screenplay,source,stars
0,0.0,1.0,"
James Frawley            ",74.0,"27,575",The Muppet Movie (1979),7.6,"
        Writers:
            
Jack Burns,             
            
Jerry Juhl            
    ",http://www.imdb.com/title/tt0038286/usercomments,"
        Stars:
            
Jim Henson,             
            
Frank Oz,             
            
Jerry Nelson            
            |
See full cast & crew »
    "
1,1.0,1.0,,,"605,219",The Big Lebowski (1998),8.2,,http://www.imdb.com/title/tt0382097/usercomments,
2,2.0,1.0,,,"327,578",The Princess Bride (1987),8.1,,http://www.imdb.com/title/tt0840792/usercomments,
3,3.0,1.0,"
Andrew Davis            ",88.0,"230,570",The Fugitive (1993),7.8,"
        Writers:
            
Jeb Stuart (screenplay),             
            
David Twohy (screenplay)            
            |
2 more credits »
    ",http://www.imdb.com/title/tt0070800/usercomments,"
        Stars:
            
Harrison Ford,             
            
Tommy Lee Jones,             
            
Sela Ward            
            |
See full cast & crew »
    "
4,4.0,1.0,,,"1,368,489",The Matrix (1999),8.7,,http://www.imdb.com/title/tt0113957/usercomments,
5,5.0,1.0,,,"1,160,631",Se7en (1995),8.6,,http://www.imdb.com/title/tt0098746/usercomments,
6,6.0,1.0,"
Stuart Rosenberg            ",91.0,"133,234",Cool Hand Luke (1967),8.2,"
        Writers:
            
Donn Pearce (screenplay),             
            
Frank Pierson (screenplay) (as Frank R. Pierson)            
            |
1 more credit »
    ",http://www.imdb.com/title/tt0296712/usercomments,"
        Stars:
            
Paul Newman,             
            
George Kennedy,             
            
Strother Martin            
            |
See full cast & crew »
    "
7,7.0,1.0,,,"837,071",Back to the Future (1985),8.5,,http://www.imdb.com/title/tt0090005/usercomments,
8,8.0,1.0,"
Harold Ramis            ",72.0,"494,702",Groundhog Day (1993),8.0,"
        Writers:
            
Danny Rubin (screenplay),             
            
Harold Ramis (screenplay)            
            |
1 more credit »
    ",http://www.imdb.com/title/tt0035279/usercomments,"
        Stars:
            
Bill Murray,             
            
Andie MacDowell,             
            
Chris Elliott            
            |
See full cast & crew »
    "
9,9.0,1.0,"
Mike Judge            ",68.0,"215,324","35 heures, c'est déjà trop (1999)",7.8,"
        Writers:
            
Mike Judge (Milton animated shorts),             
            
Mike Judge (screenplay)            
    ",http://www.imdb.com/title/tt0202285/usercomments,"
        Stars:
            
Ron Livingston,             
            
Jennifer Aniston,             
            
David Herman            
            |
See full cast & crew »
    "
10,10.0,1.0,,,"1,488,180",Pulp Fiction (1994),8.9,,http://www.imdb.com/title/tt0402014/usercomments,
